f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
15865,19972,99999,99999,99999,99999,99999,99999,99999,85,148,MT,AW,MT,Upcountry
15865,23452,99999,99999,99999,99999,99999,99999,99999,100,172,MT,AW,MT,Upcountry
15865,23916,99999,99999,99999,99999,99999,99999,99999,373,641,MT,AW,MT,Upcountry
15865,21769,99999,99999,99999,99999,99999,99999,99999,396,680,MT,AW,MT,Upcountry
15865,21986,99999,99999,99999,99999,99999,99999,99999,402,690,MT,AW,MT,Upcountry
15865,17049,99999,99999,99999,99999,99999,99999,99999,376,647,MT,AW,MT,Upcountry
15865,24151,99999,99999,99999,99999,99999,99999,99999,416,714,MT,AW,MT,Upcountry
15865,21892,99999,99999,99999,99999,99999,99999,99999,378,650,MT,AW,MT,Upcountry
15865,24271,99999,99999,99999,99999,99999,99999,99999,98,169,MT,AW,MT,Upcountry
15865,23768,99999,99999,99999,99999,99999,99999,99999,101,175,MT,AW,MT,Upcountry
15865,10698,99999,99999,99999,99999,99999,99999,99999,312,537,MT,AW,MT,Upcountry
15865,21422,99999,99999,99999,99999,99999,99999,99999,326,560,MT,AW,MT,Upcountry
15865,14975,99999,99999,99999,99999,99999,99999,99999,364,625,MT,AW,MT,Upcountry
15865,16409,99999,99999,99999,99999,99999,99999,99999,254,437,MT,AW,MT,Upcountry
15865,11645,99999,99999,99999,99999,99999,99999,99999,366,628,MT,AW,MT,Upcountry
15865,22533,99999,99999,99999,99999,99999,99999,99999,200,344,MT,AW,MT,Upcountry
15865,14555,99999,99999,99999,99999,99999,99999,99999,250,431,MT,AW,MT,Upcountry
25110,22196,99999,900,900,900,900,900,900,7,14,AW,AW,GT,GT
25110,23717,99999,900,900,900,900,900,900,29,51,AW,AW,GT,GT
25110,24170,99999,99999,99999,99999,99999,99999,99999,26,46,AW,AW,GT,Upcountry
25110,25038,99999,99999,99999,99999,99999,99999,99999,21,37,AW,AW,GT,Upcountry
25110,23894,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
25110,24698,99999,99999,99999,99999,99999,99999,99999,20,35,AW,AW,GT,Upcountry
25110,22693,99999,900,900,900,900,900,900,24,43,AW,AW,GT,GT
25110,24051,99999,99999,99999,99999,99999,99999,99999,22,39,AW,AW,GT,Upcountry
25110,22803,99999,900,900,900,900,900,900,9,17,AW,AW,GT,GT
25110,15457,99999,99999,99999,99999,99999,99999,99999,23,40,AW,AW,GT,Upcountry
25110,23029,99999,900,900,900,900,900,900,19,35,AW,AW,GT,GT
25110,23688,99999,99999,99999,99999,99999,99999,99999,4,8,AW,AW,GT,Upcountry
25110,958,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
25110,2651,99999,900,900,900,900,900,900,24,43,AW,AW,GT,GT
25110,24444,99999,99999,99999,99999,99999,99999,99999,6,11,AW,AW,GT,Upcountry
25110,23711,99999,900,900,900,900,900,900,12,22,AW,AW,GT,GT
25110,25058,99999,900,900,900,900,900,900,19,34,AW,AW,GT,GT
25110,25152,99999,99999,99999,99999,99999,99999,99999,9,17,AW,AW,GT,Upcountry
25110,15822,99999,99999,99999,99999,99999,99999,99999,48,84,AW,AW,GT,Upcountry
25110,939,99999,99999,99999,99999,99999,99999,99999,129,222,AW,AW,GT,Upcountry
25110,19288,99999,99999,99999,99999,99999,99999,99999,140,242,AW,AW,GT,Upcountry
25110,15459,99999,99999,99999,99999,99999,99999,99999,288,495,AW,AW,GT,Upcountry
25110,19507,99999,99999,99999,99999,99999,99999,99999,338,582,AW,AW,GT,Upcountry
25110,6882,99999,99999,99999,99999,99999,99999,99999,16,29,AW,MT,GT,MT
25110,940,99999,99999,99999,99999,99999,99999,99999,138,239,AW,AW,GT,Upcountry
25110,6409,99999,99999,99999,99999,99999,99999,99999,174,300,AW,AW,GT,Upcountry
25110,22883,99999,99999,99999,99999,99999,99999,99999,78,134,AW,AW,GT,Upcountry
25110,21342,99999,99999,99999,99999,99999,99999,99999,46,79,AW,AW,GT,Upcountry
25110,944,99999,99999,99999,99999,99999,99999,99999,345,593,AW,AW,GT,Upcountry
25110,23592,99999,99999,99999,99999,99999,99999,99999,302,518,AW,AW,GT,Upcountry
25110,16094,99999,99999,99999,99999,99999,99999,99999,76,132,AW,AW,GT,Upcountry
25110,23326,99999,99999,99999,99999,99999,99999,99999,76,132,AW,AD,GT,Upcountry
25110,12238,99999,99999,99999,99999,99999,99999,99999,72,125,AW,AW,GT,Upcountry
25110,11149,99999,99999,99999,99999,99999,99999,99999,180,310,AW,AW,GT,Upcountry
25110,941,99999,99999,99999,99999,99999,99999,99999,100,173,AW,AW,GT,Upcountry
25110,22043,99999,99999,99999,99999,99999,99999,99999,318,546,AW,AW,GT,Upcountry
25110,23761,99999,99999,99999,99999,99999,99999,99999,7,14,AW,MT,GT,MT
25110,19972,99999,99999,99999,99999,99999,99999,99999,80,139,AW,AW,GT,Upcountry
25110,23452,99999,99999,99999,99999,99999,99999,99999,56,97,AW,AW,GT,Upcountry
25110,23916,99999,99999,99999,99999,99999,99999,99999,353,606,AW,AW,GT,Upcountry
25110,21769,99999,99999,99999,99999,99999,99999,99999,375,644,AW,AW,GT,Upcountry
25110,21986,99999,99999,99999,99999,99999,99999,99999,381,655,AW,AW,GT,Upcountry
25110,17049,99999,99999,99999,99999,99999,99999,99999,356,612,AW,AW,GT,Upcountry
25110,24151,99999,99999,99999,99999,99999,99999,99999,395,678,AW,AW,GT,Upcountry
25110,21892,99999,99999,99999,99999,99999,99999,99999,352,605,AW,AW,GT,Upcountry
25110,24271,99999,99999,99999,99999,99999,99999,99999,106,183,AW,AW,GT,Upcountry
25110,23768,99999,99999,99999,99999,99999,99999,99999,114,196,AW,AW,GT,Upcountry
25110,10698,99999,99999,99999,99999,99999,99999,99999,291,501,AW,AW,GT,Upcountry
25110,21422,99999,99999,99999,99999,99999,99999,99999,271,465,AW,AW,GT,Upcountry
25110,14975,99999,99999,99999,99999,99999,99999,99999,347,596,AW,AW,GT,Upcountry
25110,16409,99999,99999,99999,99999,99999,99999,99999,250,430,AW,AW,GT,Upcountry
25110,11645,99999,99999,99999,99999,99999,99999,99999,349,600,AW,AW,GT,Upcountry
25110,22533,99999,99999,99999,99999,99999,99999,99999,179,308,AW,AW,GT,Upcountry
25110,14555,99999,99999,99999,99999,99999,99999,99999,230,396,AW,AW,GT,Upcountry
22196,23717,99999,900,900,900,900,900,900,24,42,AW,AW,GT,GT
22196,24170,99999,99999,99999,99999,99999,99999,99999,21,38,AW,AW,GT,Upcountry
22196,25038,99999,99999,99999,99999,99999,99999,99999,19,34,AW,AW,GT,Upcountry
22196,23894,99999,900,900,900,900,900,900,11,20,AW,AW,GT,GT
22196,24698,99999,99999,99999,99999,99999,99999,99999,15,28,AW,AW,GT,Upcountry
22196,22693,99999,900,900,900,900,900,900,17,30,AW,AW,GT,GT
22196,24051,99999,99999,99999,99999,99999,99999,99999,15,26,AW,AW,GT,Upcountry
22196,22803,99999,900,900,900,900,900,900,7,14,AW,AW,GT,GT
22196,15457,99999,99999,99999,99999,99999,99999,99999,21,38,AW,AW,GT,Upcountry
22196,23029,99999,900,900,900,900,900,900,17,31,AW,AW,GT,GT
22196,23688,99999,99999,99999,99999,99999,99999,99999,3,7,AW,AW,GT,Upcountry
22196,958,99999,900,900,900,900,900,900,13,23,AW,AW,GT,GT
22196,2651,99999,900,900,900,900,900,900,16,30,AW,AW,GT,GT
22196,24444,99999,99999,99999,99999,99999,99999,99999,6,12,AW,AW,GT,Upcountry
22196,23711,99999,900,900,900,900,900,900,12,22,AW,AW,GT,GT
22196,25058,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
22196,25152,99999,99999,99999,99999,99999,99999,99999,7,14,AW,AW,GT,Upcountry
22196,15822,99999,99999,99999,99999,99999,99999,99999,55,95,AW,AW,GT,Upcountry
22196,939,99999,99999,99999,99999,99999,99999,99999,123,213,AW,AW,GT,Upcountry
22196,19288,99999,99999,99999,99999,99999,99999,99999,140,241,AW,AW,GT,Upcountry
22196,15459,99999,99999,99999,99999,99999,99999,99999,294,506,AW,AW,GT,Upcountry
22196,19507,99999,99999,99999,99999,99999,99999,99999,344,591,AW,AW,GT,Upcountry
22196,6882,99999,99999,99999,99999,99999,99999,99999,12,22,AW,MT,GT,MT
22196,940,99999,99999,99999,99999,99999,99999,99999,146,252,AW,AW,GT,Upcountry
22196,6409,99999,99999,99999,99999,99999,99999,99999,181,312,AW,AW,GT,Upcountry
22196,22883,99999,99999,99999,99999,99999,99999,99999,70,121,AW,AW,GT,Upcountry
22196,21342,99999,99999,99999,99999,99999,99999,99999,38,66,AW,AW,GT,Upcountry
22196,944,99999,99999,99999,99999,99999,99999,99999,351,603,AW,AW,GT,Upcountry
22196,23592,99999,99999,99999,99999,99999,99999,99999,303,520,AW,AW,GT,Upcountry
22196,16094,99999,99999,99999,99999,99999,99999,99999,70,121,AW,AW,GT,Upcountry
22196,23326,99999,99999,99999,99999,99999,99999,99999,70,121,AW,AD,GT,Upcountry
22196,12238,99999,99999,99999,99999,99999,99999,99999,73,126,AW,AW,GT,Upcountry
22196,11149,99999,99999,99999,99999,99999,99999,99999,177,304,AW,AW,GT,Upcountry
22196,941,99999,99999,99999,99999,99999,99999,99999,93,160,AW,AW,GT,Upcountry
22196,22043,99999,99999,99999,99999,99999,99999,99999,315,541,AW,AW,GT,Upcountry
22196,23761,99999,99999,99999,99999,99999,99999,99999,13,24,AW,MT,GT,MT
22196,19972,99999,99999,99999,99999,99999,99999,99999,74,128,AW,AW,GT,Upcountry
22196,23452,99999,99999,99999,99999,99999,99999,99999,52,91,AW,AW,GT,Upcountry
22196,23916,99999,99999,99999,99999,99999,99999,99999,358,615,AW,AW,GT,Upcountry
22196,21769,99999,99999,99999,99999,99999,99999,99999,380,653,AW,AW,GT,Upcountry
22196,21986,99999,99999,99999,99999,99999,99999,99999,386,663,AW,AW,GT,Upcountry
22196,17049,99999,99999,99999,99999,99999,99999,99999,362,622,AW,AW,GT,Upcountry
22196,24151,99999,99999,99999,99999,99999,99999,99999,399,685,AW,AW,GT,Upcountry
