"shipping_id"	"party_id"	"truck_type_used"	"weight_demand"	"volume_demand"	"weight_load_taken"	"vehicle_weight_capacity"	"volume_load_taken"	"vehicle_volume_capacity"
"26"	"21316"	"vehicle4"	"2354"	"400"	"3760"	"4800"	"642"	"680"	"3081.0"
"27"	"940"	"vehicle5"	"2261"	"435"	"2383"	"3600"	"454"	"490"	"3110.0"
"27"	"940"	"vehicle5"	"122"	"19"	"2383"	"3600"	"454"	"490"	"3110.0"
"28"	"25110"	"vehicle5"	"30"	"2"	"2757"	"3600"	"469"	"490"	"2450.0"
"28"	"25110"	"vehicle5"	"1468"	"252"	"2757"	"3600"	"469"	"490"	"2450.0"
"28"	"23029"	"vehicle5"	"1259"	"215"	"2757"	"3600"	"469"	"490"	"2750.0"
"29"	"10698"	"vehicle5"	"2209"	"369"	"2869"	"3600"	"483"	"490"	"4625.0"
"29"	"21892"	"vehicle5"	"660"	"114"	"2869"	"3600"	"483"	"490"	"6358.0"
"30"	"15865"	"vehicle7"	"414"	"70"	"414"	"800"	"70"	"88"	"1529.0"
"31"	"941"	"vehicle2"	"4600"	"740"	"4600"	"4800"	"740"	"771"	"4575.0"
"32"	"25152"	"vehicle4"	"3824"	"651"	"3824"	"4800"	"651"	"680"	"2781.0"
"33"	"23688"	"vehicle2"	"2353"	"417"	"3874"	"4800"	"684"	"771"	"3060.0"
"33"	"24698"	"vehicle2"	"1521"	"267"	"3874"	"4800"	"684"	"771"	"3360.0"
"34"	"22043"	"vehicle3"	"3308"	"586"	"3983"	"5600"	"712"	"736"	"6000.0"
"34"	"22043"	"vehicle3"	"675"	"126"	"3983"	"5600"	"712"	"736"	"6000.0"
"35"	"6409"	"vehicle3"	"842"	"134"	"3948"	"5600"	"693"	"736"	"6607.0"
"35"	"6409"	"vehicle3"	"3106"	"559"	"3948"	"5600"	"693"	"736"	"6607.0"
"36"	"23761"	"vehicle5"	"122"	"25"	"2202"	"3600"	"439"	"490"	"2450.0"
"36"	"23761"	"vehicle5"	"165"	"28"	"2202"	"3600"	"439"	"490"	"2450.0"
"36"	"23761"	"vehicle5"	"1915"	"386"	"2202"	"3600"	"439"	"490"	"2450.0"
"37"	"23711"	"vehicle4"	"2639"	"473"	"3580"	"4800"	"636"	"680"	"2781.0"
"37"	"23717"	"vehicle4"	"941"	"163"	"3580"	"4800"	"636"	"680"	"3081.0"
"38"	"6882"	"vehicle4"	"630"	"108"	"4414"	"4800"	"679"	"680"	"3435.0"
"38"	"6882"	"vehicle4"	"22"	"6"	"4414"	"4800"	"679"	"680"	"3435.0"
"38"	"6882"	"vehicle4"	"5"	"1"	"4414"	"4800"	"679"	"680"	"3435.0"
"38"	"6882"	"vehicle4"	"3757"	"564"	"4414"	"4800"	"679"	"680"	"3435.0"
"39"	"944"	"vehicle2"	"51"	"5"	"4208"	"4800"	"726"	"771"	"9711.0"
"39"	"944"	"vehicle2"	"382"	"76"	"4208"	"4800"	"726"	"771"	"9711.0"
"39"	"944"	"vehicle2"	"3775"	"645"	"4208"	"4800"	"726"	"771"	"9711.0"
