f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
23688,16730,99999,99999,99999,99999,99999,99999,99999,0,0,AW,AD,GT,ACD
23688,23895,99999,900,900,900,900,900,900,17,31,AW,AW,GT,GT
23688,22803,99999,900,900,900,900,900,900,8,15,AW,AW,GT,GT
23688,21316,99999,900,900,900,900,900,900,8,15,AW,AW,GT,GT
23688,24394,99999,99999,99999,99999,99999,99999,99999,150,259,AW,MT,GT,Upcountry
23688,22861,99999,99999,99999,99999,99999,99999,99999,40,70,AW,AW,GT,Upcountry
23688,23716,99999,99999,99999,99999,99999,99999,99999,337,580,AW,AW,GT,Upcountry
23688,25038,99999,99999,99999,99999,99999,99999,99999,19,33,AW,AW,GT,Upcountry
23688,23348,99999,99999,99999,99999,99999,99999,99999,12,22,AW,MT,GT,MT
23688,24172,99999,99999,99999,99999,99999,99999,99999,12,22,AW,MT,GT,MT
23688,19413,99999,99999,99999,99999,99999,99999,99999,94,162,AW,AW,GT,Upcountry
23688,940,99999,99999,99999,99999,99999,99999,99999,143,246,AW,AW,GT,Upcountry
23688,4425,99999,99999,99999,99999,99999,99999,99999,51,89,AW,AW,GT,Upcountry
23688,22820,99999,99999,99999,99999,99999,99999,99999,195,336,AW,AW,GT,Upcountry
23688,21367,99999,99999,99999,99999,99999,99999,99999,356,612,AW,MT,GT,Upcountry
23688,23640,99999,99999,99999,99999,99999,99999,99999,148,255,AW,AW,GT,Upcountry
23688,17606,99999,99999,99999,99999,99999,99999,99999,49,86,AW,AW,GT,Upcountry
23688,6410,99999,99999,99999,99999,99999,99999,99999,73,126,AW,AW,GT,Upcountry
23688,25167,99999,99999,99999,99999,99999,99999,99999,49,86,AW,AW,GT,Upcountry
23688,14363,99999,99999,99999,99999,99999,99999,99999,12,22,AW,AD,GT,ACD
23688,25181,99999,99999,99999,99999,99999,99999,99999,239,411,AW,AW,GT,Upcountry
23688,21987,99999,99999,99999,99999,99999,99999,99999,4,7,AW,MT,GT,MT
23688,18240,99999,99999,99999,99999,99999,99999,99999,25,43,AW,AW,GT,Upcountry
23688,23452,99999,99999,99999,99999,99999,99999,99999,85,148,AW,AW,GT,Upcountry
23688,23080,99999,99999,99999,99999,99999,99999,99999,40,70,AW,MT,GT,MT
25110,22196,99999,900,900,900,900,900,900,7,14,AW,AW,GT,GT
25110,23717,99999,900,900,900,900,900,900,29,51,AW,AW,GT,GT
25110,24170,99999,900,900,900,900,900,900,26,46,AW,AW,GT,GT
25110,22693,99999,900,900,900,900,900,900,24,43,AW,AW,GT,GT
25110,23711,99999,900,900,900,900,900,900,12,22,AW,AW,GT,GT
25110,24051,99999,900,900,900,900,900,900,22,39,AW,AW,GT,GT
25110,2651,99999,900,900,900,900,900,900,24,43,AW,AW,GT,GT
25110,23894,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
25110,24698,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
25110,958,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
25110,25152,99999,900,900,900,900,900,900,9,17,AW,AW,GT,GT
25110,24444,99999,900,900,900,900,900,900,6,11,AW,AW,GT,GT
25110,16730,99999,99999,99999,99999,99999,99999,99999,4,8,AW,AD,GT,ACD
25110,23895,99999,900,900,900,900,900,900,20,36,AW,AW,GT,GT
25110,22803,99999,900,900,900,900,900,900,9,17,AW,AW,GT,GT
25110,21316,99999,900,900,900,900,900,900,11,21,AW,AW,GT,GT
25110,24394,99999,99999,99999,99999,99999,99999,99999,146,252,AW,MT,GT,Upcountry
25110,22861,99999,99999,99999,99999,99999,99999,99999,39,69,AW,AW,GT,Upcountry
25110,23716,99999,99999,99999,99999,99999,99999,99999,334,573,AW,AW,GT,Upcountry
25110,25038,99999,99999,99999,99999,99999,99999,99999,21,37,AW,AW,GT,Upcountry
25110,23348,99999,99999,99999,99999,99999,99999,99999,14,26,AW,MT,GT,MT
25110,24172,99999,99999,99999,99999,99999,99999,99999,16,29,AW,MT,GT,MT
25110,19413,99999,99999,99999,99999,99999,99999,99999,90,155,AW,AW,GT,Upcountry
25110,940,99999,99999,99999,99999,99999,99999,99999,138,239,AW,AW,GT,Upcountry
25110,4425,99999,99999,99999,99999,99999,99999,99999,48,84,AW,AW,GT,Upcountry
25110,22820,99999,99999,99999,99999,99999,99999,99999,182,313,AW,AW,GT,Upcountry
25110,21367,99999,99999,99999,99999,99999,99999,99999,352,605,AW,MT,GT,Upcountry
25110,23640,99999,99999,99999,99999,99999,99999,99999,144,248,AW,AW,GT,Upcountry
25110,17606,99999,99999,99999,99999,99999,99999,99999,53,93,AW,AW,GT,Upcountry
25110,6410,99999,99999,99999,99999,99999,99999,99999,76,132,AW,AW,GT,Upcountry
25110,25167,99999,99999,99999,99999,99999,99999,99999,53,93,AW,AW,GT,Upcountry
25110,14363,99999,99999,99999,99999,99999,99999,99999,14,26,AW,AD,GT,ACD
25110,25181,99999,99999,99999,99999,99999,99999,99999,235,404,AW,AW,GT,Upcountry
25110,21987,99999,99999,99999,99999,99999,99999,99999,7,13,AW,MT,GT,MT
25110,18240,99999,99999,99999,99999,99999,99999,99999,22,39,AW,AW,GT,Upcountry
25110,23452,99999,99999,99999,99999,99999,99999,99999,56,97,AW,AW,GT,Upcountry
25110,23080,99999,99999,99999,99999,99999,99999,99999,39,69,AW,MT,GT,MT
22196,23717,99999,900,900,900,900,900,900,24,42,AW,AW,GT,GT
22196,24170,99999,900,900,900,900,900,900,21,38,AW,AW,GT,GT
22196,22693,99999,900,900,900,900,900,900,17,30,AW,AW,GT,GT
22196,23711,99999,900,900,900,900,900,900,12,22,AW,AW,GT,GT
22196,24051,99999,900,900,900,900,900,900,15,26,AW,AW,GT,GT
22196,2651,99999,900,900,900,900,900,900,16,30,AW,AW,GT,GT
22196,23894,99999,900,900,900,900,900,900,11,20,AW,AW,GT,GT
22196,24698,99999,900,900,900,900,900,900,15,28,AW,AW,GT,GT
22196,958,99999,900,900,900,900,900,900,13,23,AW,AW,GT,GT
22196,25152,99999,900,900,900,900,900,900,7,14,AW,AW,GT,GT
22196,24444,99999,900,900,900,900,900,900,6,12,AW,AW,GT,GT
22196,16730,99999,99999,99999,99999,99999,99999,99999,3,7,AW,AD,GT,ACD
22196,23895,99999,900,900,900,900,900,900,14,26,AW,AW,GT,GT
22196,22803,99999,900,900,900,900,900,900,7,14,AW,AW,GT,GT
22196,21316,99999,900,900,900,900,900,900,7,13,AW,AW,GT,GT
22196,24394,99999,99999,99999,99999,99999,99999,99999,154,265,AW,MT,GT,Upcountry
22196,22861,99999,99999,99999,99999,99999,99999,99999,40,70,AW,AW,GT,Upcountry
22196,23716,99999,99999,99999,99999,99999,99999,99999,340,584,AW,AW,GT,Upcountry
22196,25038,99999,99999,99999,99999,99999,99999,99999,19,34,AW,AW,GT,Upcountry
22196,23348,99999,99999,99999,99999,99999,99999,99999,10,18,AW,MT,GT,MT
22196,24172,99999,99999,99999,99999,99999,99999,99999,9,16,AW,MT,GT,MT
22196,19413,99999,99999,99999,99999,99999,99999,99999,97,168,AW,AW,GT,Upcountry
22196,940,99999,99999,99999,99999,99999,99999,99999,146,252,AW,AW,GT,Upcountry
22196,4425,99999,99999,99999,99999,99999,99999,99999,55,95,AW,AW,GT,Upcountry
22196,22820,99999,99999,99999,99999,99999,99999,99999,190,327,AW,AW,GT,Upcountry
22196,21367,99999,99999,99999,99999,99999,99999,99999,358,616,AW,MT,GT,Upcountry
22196,23640,99999,99999,99999,99999,99999,99999,99999,151,261,AW,AW,GT,Upcountry
22196,17606,99999,99999,99999,99999,99999,99999,99999,46,80,AW,AW,GT,Upcountry
22196,6410,99999,99999,99999,99999,99999,99999,99999,70,121,AW,AW,GT,Upcountry
22196,25167,99999,99999,99999,99999,99999,99999,99999,46,80,AW,AW,GT,Upcountry
22196,14363,99999,99999,99999,99999,99999,99999,99999,10,18,AW,AD,GT,ACD
22196,25181,99999,99999,99999,99999,99999,99999,99999,241,415,AW,AW,GT,Upcountry
22196,21987,99999,99999,99999,99999,99999,99999,99999,4,9,AW,MT,GT,MT
22196,18240,99999,99999,99999,99999,99999,99999,99999,26,47,AW,AW,GT,Upcountry
22196,23452,99999,99999,99999,99999,99999,99999,99999,52,91,AW,AW,GT,Upcountry
22196,23080,99999,99999,99999,99999,99999,99999,99999,40,70,AW,MT,GT,MT
23717,24170,99999,900,900,900,900,900,900,4,9,AW,AW,GT,GT
23717,22693,99999,900,900,900,900,900,900,22,39,AW,AW,GT,GT
23717,23711,99999,900,900,900,900,900,900,19,34,AW,AW,GT,GT
23717,24051,99999,900,900,900,900,900,900,24,43,AW,AW,GT,GT
23717,2651,99999,900,900,900,900,900,900,16,29,AW,AW,GT,GT
